scheduled_date,scheduled_time,weekday,board,board_secondary,image_path,title,description,destination_link,priority
2026-07-01,09:00,Wed,"Travel Tech: eSIM, Insurance & Booking",Travel Prep Checklists,site/images/pinterest/esim-photo-w2.png,eSIM vs Roaming: A Simple Activation Guide for Travelers,"A simple eSIM activation guide for international travel — phone compatibility, choosing a data plan, offline backup tips, and quick answers before your flight. Saves the connectivity scramble after landing.",https://kytriples.github.io/travel-now-agent/articles/esim-activation-and-preparation.html,1
2026-07-01,12:00,Wed,Packing Light & Capsule Wardrobe,,site/images/pinterest/capsule-photo-w3.png,"Capsule Wardrobe: 10 Items, 3 Climates, 14 Days of Travel","A 10-item travel capsule wardrobe that works across hot tropical, temperate, and cool climates for 14 days. Fabric choices, layering logic, color palette, and a laundry strategy abroad.",https://kytriples.github.io/travel-now-agent/articles/capsule-wardrobe-2-week-trips.html,1
2026-07-01,15:00,Wed,Travel Prep Checklists,Packing Light & Capsule Wardrobe,site/images/pinterest/airport-liquids-photo-w3.png,Airport Security Liquids: 6 Common Rejections to Avoid,The 6 mistakes most travelers make with carry-on liquids — and how to avoid each one before the security line. A practical 100ml-rule cheat sheet with common rejections and FAQ.,https://kytriples.github.io/travel-now-agent/articles/airport-security-liquids.html,1
2026-07-01,18:00,Wed,Packing Light & Capsule Wardrobe,Travel Prep Checklists,site/images/pinterest/carry-on-photo-w3.png,Carry-On Packing: 5 Mistakes That Slow You Down at Security,"The 5 carry-on packing mistakes that slow you down at airport security — liquids buried, laptop deep in the bag, passport in checked luggage, charger logic, and how to pack to avoid each.",https://kytriples.github.io/travel-now-agent/articles/airport-security-packing-moments.html,1
2026-07-01,21:00,Wed,Cultural Travel & Etiquette,,site/images/pinterest/etiquette-photo-w2.png,"12 Countries, 12 Etiquette Rules Worth Knowing Before You Fly","A research-grounded etiquette guide for 12 cultures — Goffman's face theory, Hofstede's dimensions, and 12 country case studies with field examples. For travelers who want to land respectful, not awkward.",https://kytriples.github.io/travel-now-agent/articles/what-counts-as-rude.html,1
2026-07-02,09:00,Thu,"Travel Tech: eSIM, Insurance & Booking",Travel Prep Checklists,site/images/pinterest/esim-photo-w3.png,eSIM Activation in 4 Steps: 10 Minutes Before Your Flight,"A 4-step eSIM activation checklist — phone compatibility, plan choice, offline backup, and pre-flight setup. 10 minutes the night before saves the connectivity scramble after landing.",https://kytriples.github.io/travel-now-agent/articles/esim-activation-and-preparation.html,1
2026-07-02,12:00,Thu,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/japan-photo.png,"Japan Country Profile: History, Geography & Travel Prep Guide","An eight-section country profile for travelers heading to Japan — contested history, modern politics, society and culture, and practical travel prep. Written for first-time visitors who want depth before booking, not the usual destination lists. Read the full profile.",https://kytriples.github.io/travel-now-agent/countries/japan/,1
2026-07-02,15:00,Thu,"Travel Tech: eSIM, Insurance & Booking",Travel Prep Checklists,site/images/pinterest/insurance-photo.png,Travel Insurance Compared: SafetyWing vs World Nomads vs Genki,"A practical comparison of three popular travel insurance providers — who each suits, what is covered, notable exclusions, pricing, and a framework for choosing the right policy for your trip.",https://kytriples.github.io/travel-now-agent/articles/travel-insurance-compared.html,1
2026-07-02,18:00,Thu,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/tokyo-book-ahead-photo.png,Tokyo: Five Experiences Worth Booking Ahead,"Five Tokyo experiences worth locking in before you fly — TeamLab Borderless, Tsukiji food tours, Asakusa kimono rentals, and Mt. Fuji day trips. Tickets that sell out and small-group tours that fill fast, sorted before you leave home.",https://kytriples.github.io/travel-now-agent/cities/tokyo/,1
2026-07-02,21:00,Thu,Cultural Travel & Etiquette,,site/images/pinterest/etiquette-photo-w3.png,"What Counts as Rude: 12 Countries, 12 Etiquette Rules Compared","A research-grounded etiquette comparison across 12 countries — Goffman's face theory, Hofstede's dimensions, and country case studies with field examples for international travelers.",https://kytriples.github.io/travel-now-agent/articles/what-counts-as-rude.html,1
2026-07-03,09:00,Fri,"Travel Tech: eSIM, Insurance & Booking",Travel Prep Checklists,site/images/pinterest/safetywing-vs-world-nomads-photo.png,SafetyWing vs World Nomads: Which Travel Insurance Wins in 2026?,"A head-to-head travel insurance comparison: SafetyWing's subscription model versus World Nomads' adventure cover. Coverage scope, pricing for long-stay travelers, claims experience, and a decision framework for digital nomads in 2026.",https://kytriples.github.io/travel-now-agent/articles/safetywing-vs-world-nomads.html,1
2026-07-03,12:00,Fri,Country Profiles & City Guides,,site/images/pinterest/australia-photo.png,Australia Country Profile: Indigenous History to Modern Travel,"An eight-section country profile for Australia covering Aboriginal continuity, modern federation, society, culture, and practical travel prep. For travelers who want layered context — history, politics, society, culture, and prep checklists.",https://kytriples.github.io/travel-now-agent/countries/australia/,2
2026-07-03,15:00,Fri,"Travel Tech: eSIM, Insurance & Booking",Travel Prep Checklists,site/images/pinterest/insurance-photo-w2.png,"SafetyWing, World Nomads, Genki: Which Travel Insurance for You","A practical travel insurance comparison — SafetyWing, World Nomads, Genki. Who each provider suits, what is covered, notable exclusions, pricing structure, and a framework for choosing the right policy.",https://kytriples.github.io/travel-now-agent/articles/travel-insurance-compared.html,1
2026-07-03,18:00,Fri,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/tokyo-photo.png,Tokyo City Guide: A First-Time Visitor's Layered Introduction,"A long-form Tokyo city guide for first-time travelers — historic neighborhoods, modern districts, food culture, and practical preparation. Written for travelers who want to understand the city, not just see the highlights.",https://kytriples.github.io/travel-now-agent/cities/tokyo/,1
2026-07-03,21:00,Fri,Packing Light & Capsule Wardrobe,Travel Prep Checklists,site/images/pinterest/beach-photo.png,Beach Trip Packing Checklist: What to Pack for Tropical Destinations,"A practical packing list for beach and tropical trips — reef-safe sunscreen, packable sun hats, quick-dry towels, and the small items most travelers forget. Pack lighter, arrive ready.",https://kytriples.github.io/travel-now-agent/articles/beach-trip-packing-checklist.html,2
2026-07-04,09:00,Sat,"Travel Tech: eSIM, Insurance & Booking",,site/images/pinterest/hotels-photo.png,"Hotel Booking Sites Compared: Hotels.com, Booking.com, Agoda & More","A practical comparison of hotel booking sites — Hotels.com, Booking.com, Trip.com, Agoda, HotelsCombined. What each is good for, common mistakes, and how to choose for your next trip.",https://kytriples.github.io/travel-now-agent/articles/hotel-booking-sites-comparison.html,2
2026-07-04,12:00,Sat,Country Profiles & City Guides,,site/images/pinterest/australia-photo-w2.png,Australia for First-Time Visitors: A Layered Country Guide,"A first-look country profile for Australia covering Aboriginal continuity, modern federation, politics, society, culture, and travel prep. Long-form context for travelers planning their first trip down under.",https://kytriples.github.io/travel-now-agent/countries/australia/,2
2026-07-04,15:00,Sat,"Travel Tech: eSIM, Insurance & Booking",Travel Prep Checklists,site/images/pinterest/insurance-photo-w3.png,Travel Insurance: How to Pick in 5 Minutes (SafetyWing vs World Nomads vs Genki),"A 5-minute travel insurance decision framework comparing SafetyWing, World Nomads, and Genki. Who each provider suits, what is covered, exclusions, pricing, and the questions to ask.",https://kytriples.github.io/travel-now-agent/articles/travel-insurance-compared.html,1
2026-07-04,18:00,Sat,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/japan-photo-w2.png,Going to Japan? Country Profile to Read Before You Book,"A first-look country profile for travelers planning a Japan trip — history, geography, politics, society, culture, and a practical prep checklist. Long-form context for travelers who want depth before booking flights.",https://kytriples.github.io/travel-now-agent/countries/japan/,2
2026-07-04,21:00,Sat,Packing Light & Capsule Wardrobe,Travel Prep Checklists,site/images/pinterest/beach-photo-w2.png,Beach Trip Packing: What Travelers Actually Use,"A practical beach packing list focused on what travelers actually use — reef-safe sunscreen, packable sun hats, quick-dry towels, and the small items most travelers forget to bring.",https://kytriples.github.io/travel-now-agent/articles/beach-trip-packing-checklist.html,2
2026-07-05,09:00,Sun,"Travel Tech: eSIM, Insurance & Booking",,site/images/pinterest/hotels-photo-w2.png,Booking.com vs Hotels.com vs Agoda: How to Decide Quickly,"A quick decision guide for booking hotels — Hotels.com, Booking.com, Trip.com, Agoda, HotelsCombined. What each is good for, common booking mistakes, and how to choose the right one for your trip.",https://kytriples.github.io/travel-now-agent/articles/hotel-booking-sites-comparison.html,2
2026-07-05,12:00,Sun,Country Profiles & City Guides,,site/images/pinterest/australia-photo-w3.png,Australia in 8 Sections: A Layered Country Profile,"An eight-section Australia country profile — Aboriginal history, federation, politics, economy, society, culture, and travel prep. Layered context for first-time visitors who want more than highlights.",https://kytriples.github.io/travel-now-agent/countries/australia/,2
2026-07-05,15:00,Sun,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/south-korea-photo.png,"South Korea Country Profile: History, Society & Travel Prep","A layered country profile for South Korea — contested history, modern economy and politics, society and culture, and practical preparation. For travelers heading to Seoul or beyond who want context first.",https://kytriples.github.io/travel-now-agent/articles/south-korea-country-profile.html,2
2026-07-05,18:00,Sun,Packing Light & Capsule Wardrobe,Travel Prep Checklists,site/images/pinterest/travel-edc-photo.png,Travel EDC Checklist: Everyday Carry for International Trips,"A simple travel EDC list — power bank, water bottle, hand sanitizer, small cash. Pocket and personal-item setup that keeps your daily travel moments smoother.",https://kytriples.github.io/travel-now-agent/articles/everyday-carry-essentials-for-travel.html,2
2026-07-05,21:00,Sun,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/japan-photo-w3.png,Japan in 8 Sections: A Layered Guide for Travelers,"An eight-section country profile for Japan — history, geography, politics, economy, society, culture, and travel prep. Long-form context organised the way thoughtful travelers actually want to read it.",https://kytriples.github.io/travel-now-agent/countries/japan/,2
2026-07-06,09:00,Mon,Packing Light & Capsule Wardrobe,Travel Prep Checklists,site/images/pinterest/beach-photo-w3.png,Beach Trip Packing: 10 Items Most Travelers Forget,"The 10 beach trip items most travelers forget — reef-safe sunscreen, packable sun hats, quick-dry towels, and the small extras that make tropical destinations smoother.",https://kytriples.github.io/travel-now-agent/articles/beach-trip-packing-checklist.html,2
2026-07-06,12:00,Mon,"Travel Tech: eSIM, Insurance & Booking",,site/images/pinterest/hotels-photo-w3.png,Hotel Booking: 5 Mistakes That Cost You Real Money,"The 5 hotel booking mistakes that quietly cost real money — and how to avoid each. Comparison of Hotels.com, Booking.com, Trip.com, Agoda, and HotelsCombined for your next trip.",https://kytriples.github.io/travel-now-agent/articles/hotel-booking-sites-comparison.html,2
2026-07-06,15:00,Mon,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/south-korea-photo-w2.png,Seoul and Beyond: A Layered South Korea Country Guide,"A layered South Korea country profile for travelers heading to Seoul or beyond — contested history, modern economy and politics, society and culture, and practical preparation in one place.",https://kytriples.github.io/travel-now-agent/articles/south-korea-country-profile.html,2
2026-07-06,18:00,Mon,Packing Light & Capsule Wardrobe,Travel Prep Checklists,site/images/pinterest/travel-edc-photo-w2.png,Travel EDC: Pocket Essentials That Earn Their Space,"A short travel EDC list focused on essentials that earn their pocket space — power bank, water bottle, hand sanitizer, small cash. Pocket and personal-item setup that keeps travel days lighter.",https://kytriples.github.io/travel-now-agent/articles/everyday-carry-essentials-for-travel.html,2
2026-07-06,21:00,Mon,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/tokyo-photo-w2.png,First Time in Tokyo? A Layered City Guide for Visitors,"A first-time Tokyo city guide — historic neighborhoods, modern districts, food culture, and practical preparation. Written for travelers who want to understand the city before they explore it.",https://kytriples.github.io/travel-now-agent/cities/tokyo/,2
2026-07-07,09:00,Tue,Cultural Travel & Etiquette,,site/images/pinterest/boat-day-photo.png,Charter a Boat in Europe: No Sailing License Required,"A research-grounded guide to renting a boat for a day in the UK, Italy, France, Spain, Croatia, and Greece — what licenses are actually required, what platforms to use, costs, and what to pack on board.",https://kytriples.github.io/travel-now-agent/articles/charter-a-boat-for-a-day.html,3
2026-07-07,12:00,Tue,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/vietnam-photo-w2.png,Planning a Vietnam Trip? Start With This Country Profile,"A layered Vietnam country profile to read before your trip — from Đông Sơn bronze drums to Đổi Mới reforms, food and street culture, and practical preparation. Context-first for thoughtful travelers.",https://kytriples.github.io/travel-now-agent/countries/vietnam/,2
2026-07-07,15:00,Tue,Cultural Travel & Etiquette,,site/images/pinterest/untranslatable-photo.png,14 Untranslatable Words Across 12 Languages: A Cultural Essay,"Saudade, komorebi, sisu, han, ubuntu — a research-grounded essay on 14 famously untranslatable words, what linguists say about why they resist English, and what travelers take home.",https://kytriples.github.io/travel-now-agent/articles/untranslatable-words.html,3
2026-07-07,18:00,Tue,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/south-korea-photo-w3.png,South Korea in 8 Sections: A Layered Country Profile,"An eight-section South Korea country profile — contested history, modern economy, politics, society and culture, and travel prep. Long-form context for travelers heading to Seoul or beyond.",https://kytriples.github.io/travel-now-agent/articles/south-korea-country-profile.html,2
2026-07-07,21:00,Tue,Packing Light & Capsule Wardrobe,Travel Prep Checklists,site/images/pinterest/travel-edc-photo-w3.png,Travel EDC: 6 Items That Earn Their Pocket Space,"The 6 travel everyday-carry items that earn their pocket space — power bank, water bottle, hand sanitizer, small cash, and the personal-item setup that keeps trip days lighter.",https://kytriples.github.io/travel-now-agent/articles/everyday-carry-essentials-for-travel.html,2
2026-07-08,09:00,Wed,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/tokyo-photo-w3.png,Tokyo in 6 Districts: A First-Time Visitor's Layered Guide,"A layered Tokyo city guide organised by district — historic neighborhoods, modern areas, food culture, and practical preparation. For first-time travelers who want to understand the city's many layers.",https://kytriples.github.io/travel-now-agent/cities/tokyo/,2
2026-07-08,12:00,Wed,Cultural Travel & Etiquette,,site/images/pinterest/boat-day-photo-w2.png,Rent a Boat in Europe for a Day: No Sailing License,"A practical guide to chartering a boat for a day in Europe — UK, Italy, France, Spain, Croatia, and Greece. What licenses are actually required, what platforms to use, costs, and what to pack on board.",https://kytriples.github.io/travel-now-agent/articles/charter-a-boat-for-a-day.html,3
2026-07-08,15:00,Wed,"Asia Travel: Japan, Vietnam, Korea & More",Country Profiles & City Guides,site/images/pinterest/vietnam-photo-w3.png,Vietnam in 8 Sections: A Layered Country Profile,"An eight-section country profile for Vietnam — Đông Sơn drums to Đổi Mới reforms, food culture, society, and practical preparation. Layered context for travelers who want depth before their trip.",https://kytriples.github.io/travel-now-agent/countries/vietnam/,2
2026-07-08,18:00,Wed,Cultural Travel & Etiquette,,site/images/pinterest/untranslatable-photo-w2.png,"Saudade, Komorebi, Hygge: What Travelers Take Home","A reflective essay on 14 famously untranslatable words — saudade, komorebi, sisu, han, ubuntu, and more — what linguists say about why they resist English, and what travelers take home from each.",https://kytriples.github.io/travel-now-agent/articles/untranslatable-words.html,3
2026-07-08,21:00,Wed,"Asia Travel: Japan, Vietnam, Korea & More",,site/images/pinterest/asakusa-photo.png,"Asakusa Tokyo Guide: Sensoji Temple, Edo Streets & Practical Tips","A long-form guide to Asakusa, Tokyo's historic neighborhood — Sensoji temple history, Edo-era streets, practical visit tips, and nearby districts worth combining. For travelers exploring old Tokyo.",https://kytriples.github.io/travel-now-agent/cities/tokyo/asakusa.html,3
2026-07-09,09:00,Thu,"Asia Travel: Japan, Vietnam, Korea & More",,site/images/pinterest/asakusa-photo-w2.png,Asakusa Walking Guide: A Half-Day in Old Tokyo,"A practical Asakusa walking guide — Sensoji temple history, Nakamise shopping street, Edo-era streets, and which nearby districts to combine for a smooth half-day visit.",https://kytriples.github.io/travel-now-agent/cities/tokyo/asakusa.html,3
2026-07-09,12:00,Thu,Cultural Travel & Etiquette,,site/images/pinterest/boat-day-photo-w3.png,Charter a Boat in 6 European Countries: No License Required,"A research-grounded boat charter guide across 6 European countries — UK, Italy, France, Spain, Croatia, and Greece. License rules, platforms, costs, and what to pack on board for the day.",https://kytriples.github.io/travel-now-agent/articles/charter-a-boat-for-a-day.html,3
2026-07-09,15:00,Thu,"A layered country profile for Vietnam — from Đông Sơn bronze drums to Đổi Mới reforms, food and street culture, and practical travel preparation. Long-form, source-backed, for travelers who want context before their trip.","Asia Travel: Japan, Vietnam, Korea & More",site/images/pinterest/vietnam-photo.png,Vietnam Country Profile: Geography, History & Travel Prep,https://kytriples.github.io/travel-now-agent/countries/vietnam/,Country Profiles & City Guides
2026-07-09,18:00,Thu,Cultural Travel & Etiquette,,site/images/pinterest/untranslatable-photo-w3.png,14 Untranslatable Words and Why They Resist English,"A research-grounded essay on 14 famously untranslatable words — saudade, komorebi, sisu, han, ubuntu — what linguists actually say about why they resist English, and what travelers take home.",https://kytriples.github.io/travel-now-agent/articles/untranslatable-words.html,3
2026-07-09,21:00,Thu,"Asia Travel: Japan, Vietnam, Korea & More",,site/images/pinterest/asakusa-photo-w3.png,Asakusa in 4 Stops: A Half-Day Walking Guide to Old Tokyo,"A 4-stop Asakusa walking guide — Sensoji temple, Nakamise shopping street, Edo-era streets, and the nearby districts worth pairing. Half a day, layered context, no rushing.",https://kytriples.github.io/travel-now-agent/cities/tokyo/asakusa.html,3
